question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,0,0.4,"{'Oxygen': 0, 'antioxidants': 1, 'oxidants': 2, 'residues': 2}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,0,0.4,"{'hydrogen': 1, 'nitrogen': 2, 'oxidants': 2, 'oxygen': 0}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.4,"{'adult': 2, 'clone': 2, 'male': 1, 'phenotype': 0}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.2,"{'Bones': 1, 'Muscles': 0, 'Thumbs': 3, 'backbone': 1}"
Vertebrata are characterized by the presence of what?,sys,0,0.0,"{'backbone': 0, 'bone': 0, 'muscle': 2, 'skin': 3}"
What is the height above or below sea level called?,ref,0,0.0,"{'depth': 0, 'elevation': 0, 'latitude': 4, 'variation': 1}"
What is the height above or below sea level called?,sys,0,0.0,"{'elevation': 0, 'high tide': 1, 'low tide': 2, 'mean tide': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,0,0.2,"{'fossils': 0, 'magma': 1, 'mountain ranges': 3, 'tree rings': 1}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,0,0.0,"{'Human Hormones': 2, 'nitrogen hormones': 1, 'plant hormones': 0, 'produce hormones': 2}"
What chemical signals in plants control different processes?,sys,0,0.2,"{'growth hormones': 2, 'hormones': 1, 'hormones hormones': 1, 'plant hormones': 1}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,0,0.0,"{'chromosomes': 0, 'egg only': 3, 'sperm and eggs': 0, 'sperm only': 2}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,0,0.2,"{'gametes': 0, 'ovules': 3, 'sperm and eggs': 1, 'spores': 1}"
Which type of tree is dominant in temperate forests?,ref,1,0.6,"{'deciduous': 3, 'fungus': 0, 'shrubs': 1, 'vines': 1}"
Which type of tree is dominant in temperate forests?,sys,0,0.2,"{'coniferous': 0, 'deciduous': 1, 'evergreen': 4}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,0,0.0,"{'highly viscous': 0, 'increased viscosity': 3, 'intense viscosity': 0, 'low viscosity': 2}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,1,0.6,"{'highly viscous': 3, 'low viscosity': 2}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.2,"{'incorrect array': 0, 'normal array': 3, 'occasional array': 1, 'regular array': 1}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,0,0.2,"{'polar array': 0, 'random array': 4, 'regular array': 1}"
About how tall can mid-ocean ridges be?,ref,0,0.0,"{'2 inches': 2, 'about 2 feet': 0, 'about 2 km': 0, 'about 2 meters': 3}"
About how tall can mid-ocean ridges be?,sys,1,0.6,"{'1 km': 0, '3 km': 2, '5 km': 0, 'about 2 km': 3}"
What are by far the most common type of invertebrate?,ref,0,0.2,"{'corals': 2, 'crustaceans': 1, 'insects': 1, 'spiders': 1}"
What are by far the most common type of invertebrate?,sys,0,0.2,"{'ants': 2, 'insects': 1, 'spiders': 1, 'worms': 1}"
What do waves deposit to form sandbars and barrier islands?,ref,0,0.4,"{'glaciers': 0, 'magma': 0, 'organisms': 3, 'sediments': 2}"
What do waves deposit to form sandbars and barrier islands?,sys,0,0.2,"{'diment': 3, 'sedimentation': 1, 'sediments': 1}"
"Penis, testes, and epididymis are organs in what system?",ref,0,0.2,"{'female reproductive system\u200b': 0, 'male reproductive system': 1, 'plant reproductive system\u200b': 2, 'virus reproductive system\u200b': 2}"
"Penis, testes, and epididymis are organs in what system?",sys,0,0.0,"{'brain': 2, 'female reproductive system': 1, 'heart': 2, 'male reproductive system': 0}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,1,0.4,"{'flowering': 1, 'growth': 1, 'photosynthesis': 2, 'rooting': 1}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 5}
How does a neon light produce visible light?,ref,0,0.2,"{'electroluminescence': 1, 'luminescence': 2, 'mitosis': 1, 'radiation': 1}"
