question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,1,0.4,"{'Oxygen': 0, 'antioxidants': 2, 'oxidants': 2, 'residues': 1}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,0,0.0,"{'hydrogen': 2, 'nitrogen': 2, 'oxidants': 0, 'oxygen': 1}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.2,"{'adult': 0, 'clone': 1, 'male': 2, 'phenotype': 2}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.4,"{'Bones': 2, 'Muscles': 1, 'Thumbs': 0, 'backbone': 2}"
Vertebrata are characterized by the presence of what?,sys,0,0.0,"{'backbone': 0, 'bone': 0, 'muscle': 2, 'skin': 3}"
What is the height above or below sea level called?,ref,0,0.4,"{'depth': 0, 'elevation': 2, 'latitude': 1, 'variation': 2}"
What is the height above or below sea level called?,sys,0,0.0,"{'elevation': 0, 'high tide': 2, 'low tide': 1, 'mean tide': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,1,0.4,"{'fossils': 2, 'magma': 0, 'mountain ranges': 1, 'tree rings': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,0,0.0,"{'Human Hormones': 1, 'nitrogen hormones': 3, 'plant hormones': 0, 'produce hormones': 1}"
What chemical signals in plants control different processes?,sys,0,0.0,"{'growth hormones': 2, 'hormones': 1, 'hormones hormones': 2, 'plant hormones': 0}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,1,0.4,"{'chromosomes': 1, 'egg only': 0, 'sperm and eggs': 2, 'sperm only': 2}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,1,0.4,"{'gametes': 1, 'ovules': 1, 'sperm and eggs': 2, 'spores': 1}"
Which type of tree is dominant in temperate forests?,ref,1,0.4,"{'deciduous': 2, 'fungus': 1, 'shrubs': 1, 'vines': 1}"
Which type of tree is dominant in temperate forests?,sys,0,0.2,"{'coniferous': 3, 'deciduous': 1, 'evergreen': 1}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,1,0.4,"{'highly viscous': 2, 'increased viscosity': 1, 'intense viscosity': 2, 'low viscosity': 0}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,1,0.6,"{'highly viscous': 3, 'low viscosity': 2}"
