question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,0,0.2,"{'Oxygen': 8, 'antioxidants': 4, 'oxidants': 5, 'residues': 8}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,0,0.16,"{'hydrogen': 6, 'nitrogen': 9, 'oxidants': 4, 'oxygen': 6}"
What term in biotechnology means a genetically exact copy of an organism?,ref,1,0.44,"{'adult': 5, 'clone': 11, 'male': 5, 'phenotype': 4}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 25}
Vertebrata are characterized by the presence of what?,ref,1,0.32,"{'Bones': 7, 'Muscles': 6, 'Thumbs': 4, 'backbone': 8}"
Vertebrata are characterized by the presence of what?,sys,0,0.16,"{'backbone': 4, 'bone': 7, 'muscle': 5, 'skin': 9}"
What is the height above or below sea level called?,ref,0,0.2,"{'depth': 8, 'elevation': 5, 'latitude': 5, 'variation': 7}"
What is the height above or below sea level called?,sys,1,0.48,"{'elevation': 12, 'high tide': 6, 'low tide': 3, 'mean tide': 4}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,0,0.2,"{'fossils': 6, 'magma': 5, 'mountain ranges': 9, 'tree rings': 5}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 25}
What chemical signals in plants control different processes?,ref,0,0.24,"{'Human Hormones': 6, 'nitrogen hormones': 9, 'plant hormones': 6, 'produce hormones': 4}"
What chemical signals in plants control different processes?,sys,0,0.2,"{'growth hormones': 9, 'hormones': 6, 'hormones hormones': 5, 'plant hormones': 5}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,0,0.28,"{'chromosomes': 4, 'egg only': 9, 'sperm and eggs': 7, 'sperm only': 5}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,0,0.16,"{'gametes': 5, 'ovules': 7, 'sperm and eggs': 4, 'spores': 9}"
Which type of tree is dominant in temperate forests?,ref,0,0.24,"{'deciduous': 6, 'fungus': 7, 'shrubs': 3, 'vines': 9}"
Which type of tree is dominant in temperate forests?,sys,0,0.24,"{'coniferous': 12, 'deciduous': 6, 'evergreen': 7}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,0,0.24,"{'highly viscous': 6, 'increased viscosity': 5, 'intense viscosity': 9, 'low viscosity': 5}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,0,0.36,"{'highly viscous': 9, 'low viscosity': 16}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.28,"{'incorrect array': 5, 'normal array': 8, 'occasional array': 5, 'regular array': 7}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,1,0.4,"{'polar array': 7, 'random array': 8, 'regular array': 10}"
About how tall can mid-ocean ridges be?,ref,0,0.16,"{'2 inches': 10, 'about 2 feet': 5, 'about 2 km': 4, 'about 2 meters': 6}"
About how tall can mid-ocean ridges be?,sys,0,0.2,"{'1 km': 6, '3 km': 9, '5 km': 5, 'about 2 km': 5}"
What are by far the most common type of invertebrate?,ref,0,0.28,"{'corals': 2, 'crustaceans': 5, 'insects': 7, 'spiders': 11}"
What are by far the most common type of invertebrate?,sys,1,0.36,"{'ants': 7, 'insects': 9, 'spiders': 3, 'worms': 6}"
What do waves deposit to form sandbars and barrier islands?,ref,1,0.28,"{'glaciers': 6, 'magma': 6, 'organisms': 6, 'sediments': 7}"
What do waves deposit to form sandbars and barrier islands?,sys,1,0.44,"{'diment': 7, 'sedimentation': 7, 'sediments': 11}"
"Penis, testes, and epididymis are organs in what system?",ref,0,0.12,"{'female reproductive system\u200b': 8, 'male reproductive system': 3, 'plant reproductive system\u200b': 9, 'virus reproductive system\u200b': 5}"
"Penis, testes, and epididymis are organs in what system?",sys,0,0.28,"{'brain': 3, 'female reproductive system': 7, 'heart': 8, 'male reproductive system': 7}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,1,0.48,"{'flowering': 6, 'growth': 6, 'photosynthesis': 12, 'rooting': 1}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 25}
How does a neon light produce visible light?,ref,0,0.2,"{'electroluminescence': 5, 'luminescence': 5, 'mitosis': 5, 'radiation': 10}"
How does a neon light produce visible light?,sys,0,0.28,"{'electroluminescence': 7, 'helium': 5, 'hydrogen': 7, 'oxygen': 6}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,ref,0,0.32,"{'beaks': 0, 'tails': 9, 'webbed feet': 8, 'wings': 8}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,sys,0,0.12,"{'feathers': 8, 'legs': 6, 'scales': 8, 'wings': 3}"
What do most living things use to make atp from glucose?,ref,1,0.44,"{'carbon': 3, 'enzymes': 5, 'nitrogen': 6, 'oxygen': 11}"
What do most living things use to make atp from glucose?,sys,0,0.28,"{'carbon': 10, 'nitrogen': 8, 'oxygen': 7}"
What are the two most common silicates?,ref,1,0.4,"{'Micas\t and feldspar': 5, 'Micas\t and quartz': 3, 'Olivine and quartz': 7, 'feldspar and quartz': 10}"
What are the two most common silicates?,sys,0,0.16,"{'feldspar and quartz': 4, 'granite': 6, 'granite and limestone': 7, 'limestone': 8}"
What term means the amount of water vapor in the air?,ref,1,0.32,"{'ambient': 8, 'humidity': 8, 'pressure': 3, 'temperature': 6}"
What term means the amount of water vapor in the air?,sys,1,0.44,"{'high humidity': 6, 'humidity': 11, 'low humidity': 8, 'low pressure': 0}"
Paracrine signals move by what method through the extracellular matrix?,ref,0,0.16,"{'deposition': 5, 'diffusion': 4, 'osmosis': 10, 'transfusion': 6}"
Paracrine signals move by what method through the extracellular matrix?,sys,1,1.0,{'diffusion': 25}
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",ref,0,0.16,"{'animal': 8, 'heterotroph': 3, 'plant': 4, 'reproductive': 10}"
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",sys,0,0.16,"{'mitochondria': 5, 'plant': 4, 'pollen': 8, 'spore': 8}"
What happens when mammals raise their hair with tiny muscles in the skin?,ref,0,0.2,"{'balding': 7, 'bleeding': 6, 'bruising': 7, 'goosebumps': 5}"
What happens when mammals raise their hair with tiny muscles in the skin?,sys,1,0.32,"{'blood': 8, 'goosebumps': 8, 'hair': 3, 'skin': 6}"
What are people with osteoporosis at increased risk of?,ref,0,0.16,"{'bone fractures': 4, 'epilepsy': 9, 'growth spurt': 4, 'senility': 8}"
What are people with osteoporosis at increased risk of?,sys,0,0.2,"{'bone fractures': 5, 'cancer': 5, 'diabetes': 8, 'heart attack': 7}"
Where is energy stored in a chemical substance?,ref,0,0.2,"{'between atoms': 5, 'in molecules': 9, 'inside atoms': 8, 'on the surface': 3}"
Where is energy stored in a chemical substance?,sys,0,0.12,"{'atoms': 8, 'between atoms': 3, 'electrons': 7, 'molecules': 7}"
