question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,0,0.2,"{'Oxygen': 2, 'antioxidants': 2, 'oxidants': 1, 'residues': 0}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,0,0.0,"{'hydrogen': 2, 'nitrogen': 1, 'oxidants': 0, 'oxygen': 2}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.2,"{'adult': 1, 'clone': 1, 'male': 3, 'phenotype': 0}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.2,"{'Bones': 1, 'Muscles': 2, 'Thumbs': 1, 'backbone': 1}"
Vertebrata are characterized by the presence of what?,sys,0,0.0,"{'backbone': 0, 'bone': 1, 'muscle': 2, 'skin': 2}"
What is the height above or below sea level called?,ref,0,0.2,"{'depth': 2, 'elevation': 1, 'latitude': 0, 'variation': 2}"
What is the height above or below sea level called?,sys,1,0.4,"{'elevation': 2, 'high tide': 1, 'low tide': 0, 'mean tide': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,1,0.4,"{'fossils': 1, 'magma': 1, 'mountain ranges': 1, 'tree rings': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,1,0.4,"{'Human Hormones': 1, 'nitrogen hormones': 1, 'plant hormones': 2, 'produce hormones': 1}"
What chemical signals in plants control different processes?,sys,0,0.0,"{'growth hormones': 3, 'hormones': 1, 'hormones hormones': 1, 'plant hormones': 0}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,0,0.2,"{'chromosomes': 2, 'egg only': 1, 'sperm and eggs': 1, 'sperm only': 1}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,1,0.4,"{'gametes': 1, 'ovules': 1, 'sperm and eggs': 2, 'spores': 1}"
Which type of tree is dominant in temperate forests?,ref,0,0.4,"{'deciduous': 2, 'fungus': 0, 'shrubs': 0, 'vines': 3}"
Which type of tree is dominant in temperate forests?,sys,0,0.0,"{'coniferous': 3, 'deciduous': 0, 'evergreen': 2}"
