question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,0,0.0,"{'Oxygen': 2, 'antioxidants': 2, 'oxidants': 0, 'residues': 1}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,1,0.4,"{'hydrogen': 1, 'nitrogen': 1, 'oxidants': 2, 'oxygen': 1}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.2,"{'adult': 1, 'clone': 1, 'male': 2, 'phenotype': 1}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.2,"{'Bones': 2, 'Muscles': 2, 'Thumbs': 0, 'backbone': 1}"
Vertebrata are characterized by the presence of what?,sys,0,0.2,"{'backbone': 1, 'bone': 2, 'muscle': 0, 'skin': 2}"
What is the height above or below sea level called?,ref,0,0.0,"{'depth': 0, 'elevation': 0, 'latitude': 0, 'variation': 5}"
What is the height above or below sea level called?,sys,0,0.2,"{'elevation': 1, 'high tide': 1, 'low tide': 2, 'mean tide': 1}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,0,0.2,"{'fossils': 1, 'magma': 1, 'mountain ranges': 2, 'tree rings': 1}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,0,0.2,"{'Human Hormones': 2, 'nitrogen hormones': 2, 'plant hormones': 1, 'produce hormones': 0}"
What chemical signals in plants control different processes?,sys,0,0.4,"{'growth hormones': 0, 'hormones': 1, 'hormones hormones': 2, 'plant hormones': 2}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,0,0.2,"{'chromosomes': 2, 'egg only': 0, 'sperm and eggs': 1, 'sperm only': 2}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,0,0.0,"{'gametes': 4, 'ovules': 1, 'sperm and eggs': 0, 'spores': 0}"
Which type of tree is dominant in temperate forests?,ref,0,0.2,"{'deciduous': 1, 'fungus': 3, 'shrubs': 0, 'vines': 1}"
Which type of tree is dominant in temperate forests?,sys,0,0.0,"{'coniferous': 3, 'deciduous': 0, 'evergreen': 2}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,0,0.4,"{'highly viscous': 2, 'increased viscosity': 0, 'intense viscosity': 3, 'low viscosity': 0}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,1,0.6,"{'highly viscous': 3, 'low viscosity': 2}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.4,"{'incorrect array': 3, 'normal array': 0, 'occasional array': 0, 'regular array': 2}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,1,0.4,"{'polar array': 2, 'random array': 1, 'regular array': 2}"
About how tall can mid-ocean ridges be?,ref,0,0.2,"{'2 inches': 0, 'about 2 feet': 3, 'about 2 km': 1, 'about 2 meters': 1}"
About how tall can mid-ocean ridges be?,sys,0,0.2,"{'1 km': 2, '3 km': 1, '5 km': 1, 'about 2 km': 1}"
What are by far the most common type of invertebrate?,ref,0,0.2,"{'corals': 2, 'crustaceans': 1, 'insects': 1, 'spiders': 1}"
What are by far the most common type of invertebrate?,sys,0,0.0,"{'ants': 1, 'insects': 0, 'spiders': 2, 'worms': 2}"
What do waves deposit to form sandbars and barrier islands?,ref,0,0.0,"{'glaciers': 2, 'magma': 1, 'organisms': 2, 'sediments': 0}"
What do waves deposit to form sandbars and barrier islands?,sys,1,0.6,"{'diment': 2, 'sedimentation': 0, 'sediments': 3}"
"Penis, testes, and epididymis are organs in what system?",ref,0,0.2,"{'female reproductive system\u200b': 3, 'male reproductive system': 1, 'plant reproductive system\u200b': 0, 'virus reproductive system\u200b': 1}"
"Penis, testes, and epididymis are organs in what system?",sys,0,0.0,"{'brain': 0, 'female reproductive system': 3, 'heart': 2, 'male reproductive system': 0}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,0,0.0,"{'flowering': 1, 'growth': 1, 'photosynthesis': 0, 'rooting': 3}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 5}
How does a neon light produce visible light?,ref,0,0.2,"{'electroluminescence': 1, 'luminescence': 2, 'mitosis': 2, 'radiation': 0}"
How does a neon light produce visible light?,sys,0,0.2,"{'electroluminescence': 1, 'helium': 0, 'hydrogen': 3, 'oxygen': 1}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,ref,0,0.2,"{'beaks': 0, 'tails': 3, 'webbed feet': 1, 'wings': 1}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,sys,0,0.4,"{'feathers': 1, 'legs': 2, 'scales': 0, 'wings': 2}"
What do most living things use to make atp from glucose?,ref,0,0.4,"{'carbon': 0, 'enzymes': 1, 'nitrogen': 2, 'oxygen': 2}"
What do most living things use to make atp from glucose?,sys,0,0.4,"{'carbon': 2, 'nitrogen': 1, 'oxygen': 2}"
What are the two most common silicates?,ref,0,0.0,"{'Micas\t and feldspar': 1, 'Micas\t and quartz': 3, 'Olivine and quartz': 1, 'feldspar and quartz': 0}"
What are the two most common silicates?,sys,0,0.0,"{'feldspar and quartz': 0, 'granite': 1, 'granite and limestone': 3, 'limestone': 1}"
What term means the amount of water vapor in the air?,ref,0,0.2,"{'ambient': 1, 'humidity': 1, 'pressure': 1, 'temperature': 2}"
What term means the amount of water vapor in the air?,sys,0,0.0,"{'high humidity': 1, 'humidity': 0, 'low humidity': 2, 'low pressure': 2}"
Paracrine signals move by what method through the extracellular matrix?,ref,1,0.6,"{'deposition': 2, 'diffusion': 3, 'osmosis': 0, 'transfusion': 0}"
Paracrine signals move by what method through the extracellular matrix?,sys,1,1.0,{'diffusion': 5}
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",ref,1,1.0,"{'animal': 0, 'heterotroph': 0, 'plant': 5, 'reproductive': 0}"
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",sys,0,0.2,"{'mitochondria': 0, 'plant': 1, 'pollen': 2, 'spore': 2}"
What happens when mammals raise their hair with tiny muscles in the skin?,ref,1,0.6,"{'balding': 0, 'bleeding': 1, 'bruising': 1, 'goosebumps': 3}"
What happens when mammals raise their hair with tiny muscles in the skin?,sys,1,0.8,"{'blood': 0, 'goosebumps': 4, 'hair': 0, 'skin': 1}"
What are people with osteoporosis at increased risk of?,ref,0,0.0,"{'bone fractures': 0, 'epilepsy': 2, 'growth spurt': 1, 'senility': 2}"
What are people with osteoporosis at increased risk of?,sys,0,0.0,"{'bone fractures': 0, 'cancer': 2, 'diabetes': 1, 'heart attack': 2}"
Where is energy stored in a chemical substance?,ref,0,0.0,"{'between atoms': 0, 'in molecules': 1, 'inside atoms': 1, 'on the surface': 3}"
Where is energy stored in a chemical substance?,sys,0,0.0,"{'atoms': 0, 'between atoms': 0, 'electrons': 3, 'molecules': 2}"
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",ref,0,0.2,"{'blood vessels': 2, 'cardiovascular system': 2, 'immune system': 1, 'respiratory system': 0}"
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",sys,1,0.8,"{'age': 0, 'brain': 1, 'heart': 0, 'immune system': 4}"
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",ref,0,0.0,"{'calcium': 1, 'hydrogen': 0, 'nitrogen': 0, 'potasium': 4}"
