question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,0,0.2,"{'Oxygen': 0, 'antioxidants': 4, 'oxidants': 1, 'residues': 0}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,1,0.6,"{'hydrogen': 1, 'nitrogen': 1, 'oxidants': 3, 'oxygen': 0}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.0,"{'adult': 0, 'clone': 0, 'male': 2, 'phenotype': 3}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.2,"{'Bones': 1, 'Muscles': 2, 'Thumbs': 1, 'backbone': 1}"
Vertebrata are characterized by the presence of what?,sys,0,0.4,"{'backbone': 2, 'bone': 0, 'muscle': 0, 'skin': 3}"
What is the height above or below sea level called?,ref,0,0.2,"{'depth': 1, 'elevation': 1, 'latitude': 0, 'variation': 3}"
What is the height above or below sea level called?,sys,0,0.0,"{'elevation': 0, 'high tide': 3, 'low tide': 0, 'mean tide': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,1,0.4,"{'fossils': 1, 'magma': 1, 'mountain ranges': 1, 'tree rings': 2}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,0,0.4,"{'Human Hormones': 1, 'nitrogen hormones': 0, 'plant hormones': 2, 'produce hormones': 2}"
What chemical signals in plants control different processes?,sys,0,0.2,"{'growth hormones': 2, 'hormones': 0, 'hormones hormones': 2, 'plant hormones': 1}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,1,0.4,"{'chromosomes': 2, 'egg only': 1, 'sperm and eggs': 2, 'sperm only': 0}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,0,0.0,"{'gametes': 1, 'ovules': 1, 'sperm and eggs': 0, 'spores': 3}"
Which type of tree is dominant in temperate forests?,ref,0,0.2,"{'deciduous': 1, 'fungus': 1, 'shrubs': 1, 'vines': 2}"
Which type of tree is dominant in temperate forests?,sys,0,0.2,"{'coniferous': 1, 'deciduous': 1, 'evergreen': 3}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,1,0.4,"{'highly viscous': 2, 'increased viscosity': 2, 'intense viscosity': 0, 'low viscosity': 1}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,0,0.2,"{'highly viscous': 1, 'low viscosity': 4}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.2,"{'incorrect array': 3, 'normal array': 1, 'occasional array': 0, 'regular array': 1}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,1,0.4,"{'polar array': 2, 'random array': 1, 'regular array': 2}"
About how tall can mid-ocean ridges be?,ref,1,0.6,"{'2 inches': 1, 'about 2 feet': 0, 'about 2 km': 3, 'about 2 meters': 1}"
About how tall can mid-ocean ridges be?,sys,0,0.0,"{'1 km': 2, '3 km': 1, '5 km': 2, 'about 2 km': 0}"
What are by far the most common type of invertebrate?,ref,0,0.2,"{'corals': 2, 'crustaceans': 2, 'insects': 1, 'spiders': 0}"
What are by far the most common type of invertebrate?,sys,0,0.0,"{'ants': 1, 'insects': 0, 'spiders': 2, 'worms': 2}"
What do waves deposit to form sandbars and barrier islands?,ref,0,0.2,"{'glaciers': 1, 'magma': 1, 'organisms': 2, 'sediments': 1}"
What do waves deposit to form sandbars and barrier islands?,sys,1,0.4,"{'diment': 1, 'sedimentation': 2, 'sediments': 2}"
"Penis, testes, and epididymis are organs in what system?",ref,0,0.2,"{'female reproductive system\u200b': 2, 'male reproductive system': 1, 'plant reproductive system\u200b': 0, 'virus reproductive system\u200b': 2}"
"Penis, testes, and epididymis are organs in what system?",sys,0,0.2,"{'brain': 2, 'female reproductive system': 0, 'heart': 2, 'male reproductive system': 1}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,0,0.0,"{'flowering': 1, 'growth': 3, 'photosynthesis': 0, 'rooting': 1}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 5}
How does a neon light produce visible light?,ref,0,0.4,"{'electroluminescence': 2, 'luminescence': 2, 'mitosis': 0, 'radiation': 1}"
How does a neon light produce visible light?,sys,1,0.6,"{'electroluminescence': 3, 'helium': 1, 'hydrogen': 1, 'oxygen': 0}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,ref,0,0.2,"{'beaks': 2, 'tails': 1, 'webbed feet': 1, 'wings': 1}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,sys,0,0.0,"{'feathers': 0, 'legs': 4, 'scales': 1, 'wings': 0}"
What do most living things use to make atp from glucose?,ref,0,0.2,"{'carbon': 1, 'enzymes': 1, 'nitrogen': 2, 'oxygen': 1}"
What do most living things use to make atp from glucose?,sys,1,0.6,"{'carbon': 0, 'nitrogen': 2, 'oxygen': 3}"
What are the two most common silicates?,ref,1,0.4,"{'Micas\t and feldspar': 1, 'Micas\t and quartz': 1, 'Olivine and quartz': 1, 'feldspar and quartz': 2}"
What are the two most common silicates?,sys,0,0.2,"{'feldspar and quartz': 1, 'granite': 3, 'granite and limestone': 0, 'limestone': 1}"
What term means the amount of water vapor in the air?,ref,1,0.6,"{'ambient': 1, 'humidity': 3, 'pressure': 1, 'temperature': 0}"
