question,source,accuracy,difficulty,distractor_effectiveness
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",ref,1,0.4,"{'Oxygen': 2, 'antioxidants': 1, 'oxidants': 2, 'residues': 0}"
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",sys,0,0.4,"{'hydrogen': 0, 'nitrogen': 0, 'oxidants': 2, 'oxygen': 3}"
What term in biotechnology means a genetically exact copy of an organism?,ref,0,0.0,"{'adult': 2, 'clone': 0, 'male': 1, 'phenotype': 2}"
What term in biotechnology means a genetically exact copy of an organism?,sys,1,1.0,{'clone': 5}
Vertebrata are characterized by the presence of what?,ref,0,0.0,"{'Bones': 3, 'Muscles': 1, 'Thumbs': 1, 'backbone': 0}"
Vertebrata are characterized by the presence of what?,sys,1,0.4,"{'backbone': 2, 'bone': 1, 'muscle': 1, 'skin': 1}"
What is the height above or below sea level called?,ref,1,0.6,"{'depth': 0, 'elevation': 3, 'latitude': 0, 'variation': 2}"
What is the height above or below sea level called?,sys,0,0.2,"{'elevation': 1, 'high tide': 1, 'low tide': 0, 'mean tide': 3}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ref,0,0.2,"{'fossils': 2, 'magma': 1, 'mountain ranges': 1, 'tree rings': 1}"
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",sys,1,1.0,{'tree rings': 5}
What chemical signals in plants control different processes?,ref,0,0.4,"{'Human Hormones': 3, 'nitrogen hormones': 0, 'plant hormones': 2, 'produce hormones': 0}"
What chemical signals in plants control different processes?,sys,1,0.6,"{'growth hormones': 1, 'hormones': 0, 'hormones hormones': 1, 'plant hormones': 3}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",ref,0,0.2,"{'chromosomes': 2, 'egg only': 1, 'sperm and eggs': 1, 'sperm only': 1}"
"Meiosis is part of the process of gametogenesis, which is the production of what?",sys,1,0.6,"{'gametes': 0, 'ovules': 1, 'sperm and eggs': 3, 'spores': 1}"
Which type of tree is dominant in temperate forests?,ref,0,0.4,"{'deciduous': 2, 'fungus': 1, 'shrubs': 0, 'vines': 2}"
Which type of tree is dominant in temperate forests?,sys,0,0.4,"{'coniferous': 2, 'deciduous': 2, 'evergreen': 1}"
What kind of viscosity is found in long-chain hydrocarbons?,ref,0,0.0,"{'highly viscous': 0, 'increased viscosity': 1, 'intense viscosity': 2, 'low viscosity': 2}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,1,0.6,"{'highly viscous': 3, 'low viscosity': 2}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.4,"{'incorrect array': 0, 'normal array': 2, 'occasional array': 1, 'regular array': 2}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,0,0.2,"{'polar array': 2, 'random array': 2, 'regular array': 1}"
About how tall can mid-ocean ridges be?,ref,0,0.2,"{'2 inches': 0, 'about 2 feet': 3, 'about 2 km': 1, 'about 2 meters': 1}"
About how tall can mid-ocean ridges be?,sys,0,0.2,"{'1 km': 2, '3 km': 0, '5 km': 2, 'about 2 km': 1}"
What are by far the most common type of invertebrate?,ref,0,0.2,"{'corals': 2, 'crustaceans': 2, 'insects': 1, 'spiders': 0}"
What are by far the most common type of invertebrate?,sys,0,0.2,"{'ants': 1, 'insects': 1, 'spiders': 2, 'worms': 1}"
What do waves deposit to form sandbars and barrier islands?,ref,0,0.2,"{'glaciers': 0, 'magma': 3, 'organisms': 1, 'sediments': 1}"
What do waves deposit to form sandbars and barrier islands?,sys,1,0.6,"{'diment': 1, 'sedimentation': 1, 'sediments': 3}"
"Penis, testes, and epididymis are organs in what system?",ref,0,0.2,"{'female reproductive system\u200b': 2, 'male reproductive system': 1, 'plant reproductive system\u200b': 2, 'virus reproductive system\u200b': 0}"
"Penis, testes, and epididymis are organs in what system?",sys,0,0.0,"{'brain': 1, 'female reproductive system': 4, 'heart': 0, 'male reproductive system': 0}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,0,0.2,"{'flowering': 0, 'growth': 1, 'photosynthesis': 1, 'rooting': 3}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 5}
How does a neon light produce visible light?,ref,0,0.2,"{'electroluminescence': 1, 'luminescence': 1, 'mitosis': 2, 'radiation': 1}"
How does a neon light produce visible light?,sys,1,0.4,"{'electroluminescence': 2, 'helium': 1, 'hydrogen': 2, 'oxygen': 0}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,ref,0,0.0,"{'beaks': 1, 'tails': 1, 'webbed feet': 3, 'wings': 0}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,sys,0,0.4,"{'feathers': 1, 'legs': 0, 'scales': 2, 'wings': 2}"
What do most living things use to make atp from glucose?,ref,0,0.2,"{'carbon': 3, 'enzymes': 1, 'nitrogen': 0, 'oxygen': 1}"
What do most living things use to make atp from glucose?,sys,0,0.4,"{'carbon': 0, 'nitrogen': 3, 'oxygen': 2}"
What are the two most common silicates?,ref,0,0.4,"{'Micas\t and feldspar': 0, 'Micas\t and quartz': 2, 'Olivine and quartz': 1, 'feldspar and quartz': 2}"
What are the two most common silicates?,sys,1,0.6,"{'feldspar and quartz': 3, 'granite': 1, 'granite and limestone': 1, 'limestone': 0}"
What term means the amount of water vapor in the air?,ref,0,0.2,"{'ambient': 1, 'humidity': 1, 'pressure': 1, 'temperature': 2}"
What term means the amount of water vapor in the air?,sys,0,0.2,"{'high humidity': 1, 'humidity': 1, 'low humidity': 2, 'low pressure': 1}"
Paracrine signals move by what method through the extracellular matrix?,ref,0,0.4,"{'deposition': 3, 'diffusion': 2, 'osmosis': 0, 'transfusion': 0}"
Paracrine signals move by what method through the extracellular matrix?,sys,1,1.0,{'diffusion': 5}
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",ref,1,0.4,"{'animal': 1, 'heterotroph': 1, 'plant': 2, 'reproductive': 1}"
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",sys,1,0.4,"{'mitochondria': 0, 'plant': 2, 'pollen': 1, 'spore': 2}"
